paragraph,predict_label,count,different,empty,diff rate,empty rate
Googles 2022 Environmental Report features data performance highlights,3,8,diff,,0.8253012048192772,0.3192771084337349
and progress against our targets from our 2021 fiscal year January 1 to,12,26,diff,empty,,
December 31 2021 It also mentions notable targets set in 2022,12,26,diff,empty,,
This report outlines how were driving positive environmental impact,10,9,diff,,,
throughout our business in five key ways designing efficient data centers,24,22,diff,,,
better devices and services and empowering users with technology,2,26,diff,empty,,
For more information about our sustainability strategy see Googles,3,0,diff,,,
Sustainability website and sustainability reports page For more information,15,0,diff,,,
about our overall corporate responsibility initiatives see Googles,10,0,diff,,,
commitments as well as sustainability and related information For more,12,0,diff,,,
information about our business see the About Google and Alphabet Investor,3,26,diff,empty,,
We believe that every business has the opportunity and obligation to protect,12,26,diff,empty,,
our planet Sustainability is one of our core values at Google and we strive,15,0,diff,,,
Weve been a leader on sustainability and climate change since Googles,13,0,diff,,,
founding over 20 years ago These are some of our key achievements over,3,26,diff,empty,,
2007 We became the first major company to be carbon neutral for our operations,24,21,diff,,,
2017 We became the first major company to match 100 of our annual electricity,24,26,diff,empty,,
use with renewable energy which weve achieved for five consecutive years,24,24,,,,
2020 We issued 575 billion in sustainability bondsthe largest sustainability,3,0,diff,,,
or green bond issuance by any company in history at the time,12,26,diff,empty,,
2021 We matched 66 of our data center electricity use with regional,24,22,diff,,,
Our sustainability strategy is focused on three key pillars accelerating,3,0,diff,,,
the transition to carbonfree energy and a circular economy empowering,12,24,diff,,,
everyone with technology and benefiting the people and places where we,15,26,diff,empty,,
We strive to build sustainability into everything we do,15,0,diff,,,
To accelerate the transition to a carbonfree and circular economy in 2020,3,26,diff,empty,,
we launched our third decade of climate action and were now working,13,11,diff,,,
toward a new set of ambitious goals By 2030 we aim to,12,26,diff,empty,,
Achieve netzero emissions across all of our operations and value chain,24,21,diff,,,
Become the first major company to run on carbonfree energy 24 hours a day,24,24,,,,
seven days a week 365 days a year,12,26,diff,empty,,
Enable 5 gigawatts of new carbonfree energy through investments in our key,24,24,,,,
Help more than 500 cities and local governments reduce an aggregate of,10,26,diff,empty,,
We also aim to maximize the reuse of finite resources across our operations,17,19,diff,,,
products and supply chains and to enable others to do the same,17,26,diff,empty,,
As part of our goal to achieve netzero emissions across all of our operations,25,21,diff,,,
and value chain by 2030 we aim to reduce the majority of our emissions,25,21,diff,,,
versus our 2019 baseline before 2030 and plan to invest in naturebased,12,26,diff,empty,,
and technologybased carbon removal solutions to neutralize our remaining,24,21,diff,,,
emissions We know this will be a challenging journey and we expect our,25,21,diff,,,
progress toward this goal to be nonlinear While our total GHG emissions,25,21,diff,,,
increased from 2020 to 2021 were committed to achieving GHG reductions,25,26,diff,empty,,
To empower everyone with technology weve committed to help 1 billion,24,26,diff,empty,,
people make more sustainable choices by the end of 2022 through our core,15,26,diff,empty,,
products We introduced ecofriendly routing in Google Maps new features,15,26,diff,empty,,
to book flights or purchase appliances that have lower carbon footprints,24,21,diff,,,
and Nest Renew a program to support clean energy from home And when,24,24,,,,
people come to Google Search with questions about climate change we,13,25,diff,,,
show information from authoritative sources like the United Nations,12,26,diff,empty,,
To benefit the people and places where we operate weve set goals to,10,26,diff,empty,,
replenish more water than we consume by 2030 and to support water security,20,20,,,,
in communities where we operate Were focused on three areas enhancing,10,26,diff,empty,,
our stewardship of water resources across Google offices and data centers,20,7,diff,,,
replenishing our water use and improving watershed health and ecosystems,23,6,diff,,,
in waterstressed communities and sharing technology and tools that help,10,26,diff,empty,,
everyone predict prevent and recover from water stress,20,20,,,,
At Google we remain steadfast in our commitment to sustainability and well,3,0,diff,,,
continue to lead and encourage others to join us in improving the health of our,9,6,diff,,,
planet Were proud of what weve achieved so far and were energized to help,10,26,diff,empty,,
move the world closer to a more sustainable and carbonfree future for all,10,26,diff,empty,,
The following section provides a snapshot of our performance as of the end,18,8,diff,,,
of 2021demonstrating how were strengthening our business by reducing,3,26,diff,empty,,
the environmental impact of our operations and working to empower people,10,9,diff,,,
For a more complete overview of our performance over time see the,18,8,diff,,,
On average a Google data center is twice as energy efficient as a typical enterprise data center1,24,22,diff,,,
Compared with five years ago we now deliver around five times as much computing power with the same amount of electrical power,24,26,diff,empty,,
In 2021 the average annual PUE2 for our global fleet of data centers was 110 compared with the industry average of 1573meaning that Google data centers use about six times less overhead energy,24,22,diff,,,
Whether someone is using Google at home or as part of an organization running Google Cloud or Google Workspace all products in our Cloud are carbon neutralmeaning that the operational GHG emissions associated with running workloads on our infrastructure have been reduced through procurement of renewable energy and any residual emissions have been compensated for with highquality carbon credits4,25,21,diff,,,
In 2021 we diverted 78 of waste from our global data center operations away from landfills,19,19,,,,
In 2021 27 of components used for server upgrades were refurbished inventory,15,26,diff,empty,,
In 2021 we resold more than 49 million components into the secondary market for reuse by other organizations,15,19,diff,,,
In 2021 we matched 100 of the electricity consumption of our operations with renewable energy purchases for the fifth consecutive year,24,24,,,,
