paragraph,predict_label,count,different,empty,diff rate,empty rate
2021 TCFD Formosa Plastics Corporation Climaterelated Financial Disclosure Report,18,12,diff,,0.7090069284064665,0.279445727482679
FPCs Task Force on Climaterelated Financial Disclosures Report,13,26,diff,empty,,
33 Summary Table of Impact of Risks and,18,10,diff,,,
In recent years global warning due to greenhouse gas emissions has caused significant,25,25,,,,
risks to the global economy and has affected a lot of enterprises However it is difficult for,18,26,diff,empty,,
investors to learn which companies are susceptible to climate change risks which companies,13,25,diff,,,
are adequately prepared and which ones are taking response actions Accordingly the,5,5,,,,
Financial Stability Board FSB has assembled a special task force Task Force on Climate,13,7,diff,,,
related Financial Disclosures TCFD which has published its Recommendations of the Task,12,26,diff,empty,,
Force on Climaterelated Financial Disclosures the Recommendations in short in June,13,26,diff,empty,,
2017 after spending 18 months gathering opinions from business and financial leaders The,18,26,diff,empty,,
Recommendations provides businesses and investors with a complete and welldefined,4,26,diff,empty,,
assessment framework for disclosing risks and opportunities associated with climate change,13,10,diff,,,
In December 2021 to cope with the international trend Formosa Plastics Corporation,15,26,diff,empty,,
hereinafter referred to as FPC has committed to disclose the risks and opportunities,18,26,diff,empty,,
associated with climate change according to the Recommendations on the TCFD website in,13,25,diff,,,
order to demonstrate the responsibilities and strategies of FPC thereby appropriating capital,18,26,diff,empty,,
more reasonably and effectively to achieve the vision of lowcarbon economic transformation,3,26,diff,empty,,
The Board of Directors is the highest governing body to make decisions and supervise the Company in response to climate changes The Chairman of the Board is the leader and is responsible for overseeing issues and matters related to climate change,13,7,diff,,,
Report the climate changerelated matters of the company to the Board of Directors in order to use such information as important reference and basis for establishing sustainability directives,13,0,diff,,,
Establish an energy conservation and carbon reduction promotion team to handle the establishment and execution of response measures related to climate change The Chairman of the Board convene energy conservation and carbon reduction team meetings monthly in order to review execution progress and target achievement outcome,13,24,diff,,,
To demonstrate the companys determination in sustainable operations FPC has completed the TCFD support registration on the TCFD website in December 2021,12,26,diff,empty,,
Coal burning heading toward the low zero carbon energy transformation promote transformation of coal into gas replace old and obsolete coalburning boilers implement carbon capture and reuse promote hydrogen power generation,24,24,,,,
Energy conservation and carbon reduction circular economy implement artificial intelligence AI technology and apply to energy conservation equipment upgradeprocess optimization research and develop catalyst of low energy consumption,24,24,,,,
Increase renewable energy consumption construct solar power generation equipment and use the wind power of Formosa Heavy Industries Corporation,24,24,,,,
Other carbon reduction measures use biomass ethylene for the manufacturing of polyethylene PE recycle materials for renewable energy products lightweight product application and renewable energy equipment materials application,15,24,diff,,,
Collect analyze and summarize information on risks and opportunities of climate change and energy semiannually and identify and assess climate change related risks and opportunities according to ISO 14001 risk identification procedure,13,25,diff,,,
Use a risk matrix to determine major risks and opportunities and the assessment indicator includes financial impact level and risk and opportunity occurrence probability divided into 5 levels with the score from 1 to 5 points If the assessment total score is greater than or equal to 15 points it is considered as a major risk and opportunity and is assessed to have substantial potential impact on finance or strategy,18,10,diff,,,
FPC uses the year of 2020 as the base year and establishes the absolute target for carbon emission reduction including,21,25,diff,,,
Shortterm reduction target reduction of carbon emission by 20 from the base year in 2025,21,25,diff,,,
Mediumterm reduction target reduction of carbon emission by 40 from the base year in 2030,21,25,diff,,,
Longterm reduction target reach carbon neutrality in 2050,25,25,,,,
The capital of FPC is NT636 billion and its main businesses include production and sale,12,26,diff,empty,,
of plastics fibers and chemical raw materials FPCs annual production capacity for the products of PVC VCM and liquid caustic soda including overseas investees is ranked,15,26,diff,empty,,
among the top five manufacturer worldwide Other products of FPC are also ranked at,15,26,diff,empty,,
FPC values Environment Society and Corporate Governance ESGrelated issues as the,12,0,diff,,,
fundamental of corporate sustainable development Accordingly on May 10 2022,3,4,diff,,,
the Board of Directors has approved the establishment of the Sustainable Development,23,4,diff,,,
Committee in order to enhance the supervision responsibility of the Board of Directors,7,7,,,,
on sustainable matters in response to climate change,13,5,diff,,,
