paragraph,predict_label
INTRODUCTION About this ESG Report,3
OUR PRINCIPLES Governance structure and ESG risk management,12
OUR PLANET Environmental governance structure,12
Strategic approach and climate change,13
Aircraft fuel conservation and fleet modernization,24
OUR PEOPLE Social governance structure,10
We are proud to present the FedEx 2022 ESG,3
Report which covers progress toward our,12
environmental social and governance ESG,10
strategies goals and initiatives This report,12
This report references indicators from the,12
Global Reporting Initiative GRI Standards and,12
aligns with applicable industry standards from the,12
Sustainability Accounting Standards Board SASB,12
and recommendations from the Task Force on,12
reflects our ESG progress and performance for,3
each FedEx operating company and all,18
geographies for our 2021 fiscal year FY21,12
unless otherwise noted FY21 ended May 31,12
2021 and all references to FY denote the 12month period ending on May 31 of the,12
Scope 1 2 GHG verification statement,25
Our Data appendix includes key highlights,22
regarding our ESG performance and progress,3
including yearoveryear performance data Our,18
Scope 1 and 2 greenhouse gas GHG emissions,25
data were externally verified by Cventure LLC,22
FedEx Corporation FedEx provides a broad,4
and business services through our operating,3
companies By competing collectively operating,4
collaboratively and innovating digitally we are,15
building the network for whats next We are,3
committed to connecting people and possibilities,8
across the world responsibly and resourcefully,15
Our operating principles coupled with the size,3
and scale of our network allow us to remain,3
flexible while positioning us to produce superior,15
financial returns for our stockholders,18
Every day FedEx serves over 220 countries and,6
territories and works to connect 99 of global,12
gross domestic product Our companys positive,15
impact extends far beyond pallets and parcels,2
and we play an important role in the US and,12
global economies by supporting customers,4
including small business customers and team members across the world as demonstrated in,3
our US Economic Impact Report,18
Agile Proactive Resilient FedEx team members,3
have reflected these characteristics in meeting the,3
challenges posed by the operating environment,3
of the past year including record ecommerce,4
volumes and immense global supply chain,17
challenges And since the beginning of the,2
pandemic weve been proud to support recovery,13
efforts including the ongoing delivery of vaccines,2
therapeutics test kits and related supplies This is,6
among the most important work in our companys,15
history and will continue as long as needed,12
In this unique global context FedEx plays an,18
essential role in supporting communities and,10
economies worldwide a benefit weve called,4
the FedEx Effect Each day FedEx connects,18
millions of individuals businesses and,4
communities around the world with opportunities,10
in a responsible and resourceful manner,10
The success of our network is built on our,3
companys sound environmental social and,10
governance ESG practices which are outlined,12
in this report in three sections focused on our,12
principles our planet and our people,10
Our principles reflect our absolute commitment,10
to ethics integrity and reliability in our business practices These commitments also extend to our,0
approach to our supply chain policy advocacy,17
data and cybersecurity Guided by the FedEx,1
unifying enterprisewide culture values to knit,3
Code of Conduct and reporting channels the,12
our entire network of nearly 600000 team,8
FedEx governance structure is the bedrock of,12
members together under shared values and,10
Our planet looks at the work underway to,12
behaviors This evolution of our culture builds,8
upon our PeopleServiceProfit philosophy and,12
Quality Driven Management system which help,0
address the urgent challenges of climate change,13
FedEx prepare for whats next,18
by implementing our Reduce Replace and,12
Revolutionize strategy across our operations,3
FedEx remains committed to compensating,4
We continue to make progress toward our goal,10
our team members fairly for their contributions,10
of achieving carbon neutral global operations,24
and providing highquality opportunities for,0
by 2040 as announced last year For example,12
growth To make FedEx even more attractive,18
despite continued business growth as seen in,3
to prospective team members at all levels,8
FY21 we have reduced our emissions intensity,21
we have expanded learning and development,2
by 45 over the last 12 years,12
programs DEI initiatives in the workplace,10
and the communities we serve flexible work,10
In April 2021 FedEx became the first North,18
environments and investments in team member,10
American transportation and logistics company,17
safety including free COVID19 testing and,14
to issue a sustainability bond introducing a,3
direct way for the investor community to,12
vaccinations for all US team members,2
support our carbon neutral operations goal We,3
Anchored by these three dimensions at the core,4
are also working with strategic partners such as,3
of our business we will continue to innovate for,3
the Yale Center for Natural Carbon Capture and,23
our customers create an environment where our,15
BrightDrop a new business from General,18
team members can thrive and work toward our,8
Motors We know this collaboration is key to,10
ambitious goals to deliver for our customers and,15
identifying sustainable technologies that can be,15
scaled for the benefit of both FedEx and the,12
Our people and their commitment to delivering,10
the Purple Promise set us apart The distinct,4
FedEx culture is a differentiator and we are,4
proud to have recently introduced a set of,12
Governance structure and ESG risk management,12
Board of Directors and global ESG governance,3
At FedEx we focus on longterm performance,3
which has guided our companys success for,3
nearly five decades To deliver on this forward,3
thinking strategy we embed ESG throughout,3
our culture and align our sustainability approach,3
with our mission and values,10
For more information on our environmental and,10
social governance approach please visit the Our,10
Planet and Our People chapters of this report,23
The FedEx Board of Directors has reviewed this,7
ESG report The Board and its committees,7
oversee our global sustainability strategies and,3
programs and are responsible for evaluating,12
managements efforts to align enterprise culture,3
with our values and longterm strategy We seek to maintain a Board that reflects a wide breadth,7
of experiences perspectives and knowledge in,2
addition to a diversity of gender race ethnicity,8
and age Of the 12 members that currently,8
comprise our Board of Directors four are female,7
and four are ethnically diverse,8
The Board has four standing committees each,7
of which is solely comprised of independent,12
members as determined by the Board in,7
accordance with the independence requirements,12
of the New York Stock Exchange and the Boards,12
more stringent director independence standards,0
Recently the Board renamed three of the,7
committees to better reflect their respective,12
oversight responsibilities The Board has,7
delegated each committee specific aspects,12
The Governance Safety and Public,5
Policy Committee oversees our Corporate,12
Social Responsibility CSR goals strategies,10
and programs including with respect,12
