paragraph,predict_label
At Visa digital payments is our business With studies ,"0
"
showing that even a small increase in the rate of digital ,"12
"
networks and launching the Visa Eco Benefits bundle ,"12
"
adoption can have an outsized influence on a countrys ,"4
"
the world We have made great strides to bring the power ,"4
"
of digital payments to a growing number of small and micro ,"1
"
businesses Weve also invested in improving digital literacy ,"2
"
and financial education in communities across our regions ,"2
"
reached over 32 million people and was offered in 48 ,"2
"
to run our company ethically responsibly and sustainably ,"3
"
contributes to our ability to be a leader in our industry in ,"3
"
We are proud to be recognized for our efforts including our ,"10
"
continued inclusion in the Dow Jones Sustainability North ,"3
"
America Index and once again being named to the Worlds ,"18
"
To help ensure the digital economy is a safe and convenient ,"2
"
Most Ethical Companies and Most JUST Companies lists ,"0
"
The past few years have accelerated change in many ,"13
"
facets of our liveshow we work and do business how ,"3
"
we communicate and what we prioritize and value ,"3
"
They have also sparked a renewed urgency to tackle ,"12
"
place for businesses of all sizes to operate we continue ,"3
"
to invest in the security of our network and the broader ,"1
"
ecosystem including our investment of over 9 billion ,"12
"
in fraud protection over the past five years In 2021 Visas ,"0
"
security efforts contributed to preventing 26 billion in ,"1
"
the problems facing society on a global scale including ,"10
"
Within Visa we continue to focus on enhancing the talent  ,"8
"
the 14 billion individuals currently left out of the formal ,"4
"
experience for underrepresented groups In the United States  ,"8
"
financial system the continuing effects of a lingering ,"18
"
we made progress toward our Stand Together goals including  ,"10
"
As I reflect on the results across our ESG areas of focus I ,"3
"
recognize that although we have done much good for ,"10
"
the world much remains to be done The work ahead ,"12
"
is challenging but I believe we have the best and the ,"10
"
brightest talent in payments As we continue to live out our ,"8
"
purpose the positive impact we can make only grows ,"10
"
In the following pages I invite you to learn more about ,"1
"
the work we do day in and day out to advance a more ,"11
"
There is no overstating the seriousness of the challenges ,"18
"
As global citizens we at Visa are committed to making ,"8
"
our workforce We also announced our Black Scholars and  ,"8
"
Jobs program  a scholarship mentorship internship and job  ,"8
"
placement program aimed at supporting a pipeline of diverse  ,"8
"
future leaders in the business and technology sectors  ,"3
"
a positive impact in the world through living out our ,"10
"
100 renewable electricity use and carbon neutral operations ,"24
"
the best way to pay and be paid We strive to do this ,"11
"
 we continue to work toward a more sustainable economy ,"15
"
in our efforts to empower small businesses and local ,"10
"
We are expanding our commercial offerings that help our ,"4
"
the planet invest in and diversify our workforce and ,"8
"
Alfred F Kelly Jr Chairman and Chief Executive Officer Visa ,"7
"
Our ESG Strategy Helps us deliver on our purpose uplift everyone everywhere by being the best way to pay and be paid ,"11
"
SMBs digitally enabled toward 50 million goal by 20231 ,"1
"
startups from 100 countries in Visa Everywhere Initiative ,"12
"
people reached by Visa Practical Money Skills  offered ,"8
"
of fraud losses prevented by Visa Advanced Authorization and Visa Risk Manager ,"0
"
invested over past five years to boost cybersecurity and reduce fraud ,"0
"
historically low fraud rate for every 100 transacted on Visas network ,"0
"
among men and women for the same work ,"11
"
Visa Board diversity for gender race ethnicity dimensions ,"8
"
completion by eligible employees of annual compliance training ,"12
"
consecutive inclusion on Worlds Most Ethical Companies list ,"0
"
cities with Visa support of public transit mobility ,"24
"
Visas 2021 Environmental Social and Governance ESG Report describes ,"10
"
The focus areas issues and initiatives we address are important to Visa and our ,"10
"
stakeholders For more information on how Visa identifies these priorities through our  ,"12
"
biennial Materiality process see page 6 of this report Additional resources on these  ,"12
"
This report has been prepared in accordance with the Global Reporting Initiative GRI ,"12
"
Standards Core option and is mapped to the Sustainability Accounting Standards Board ,"12
"
SASB Software  IT Services Sustainability Accounting Standard the Task Force on ,"12
"
Climaterelated Financial Disclosures TCFD recommended disclosures and relevant World ,"12
"
This report focuses on Visas global commitments and practices except where noted We ,"10
"
report data related to Visas fiscal year 2021 October 1 2020September 30 2021 unless ,"12
"
otherwise noted In some cases data and information related to our ESG priorities may ,"3
"
include programs and activities underway or introduced in the 2022 fiscal year as noted ,"12
"
All references to currency are in US dollars unless otherwise noted This is Visas seventh ,"12
"
annual ESG Report Visas previous report was published in May 2021 ,"12
"
