paragraph,predict_label,count,different,empty,diff rate,empty rate
On the cover Alicia Alcantara Dendura is among hundreds of Rockwell,12,26,diff,empty,0.855621301775148,0.6011834319526628
We are a global leader in industrial automation and digital transformation We connect the imaginations of people with the potential of technology to expand what is,15,26,diff,empty,,
humanly possible making the world more productive and,9,26,diff,empty,,
Our Strategy is to bring the Connected Enterprise to life Nobody is better positioned to bring information and,1,26,diff,empty,,
operational technology together than us and our partners,1,26,diff,empty,,
Our Mission is to integrate control and information across the enterprise to help industrial companies and their people be more productive and sustainable,10,26,diff,empty,,
It is my pleasure to present our 2021 Sustainability Report Amid a pandemic that is stretching into a third year we are making significant progress on our most important goals including efforts to make our company customers and communities more sustainable In some ways these efforts were accelerated by world events as we continue to act with urgency to make a difference,10,0,diff,,,
A companys value is only the sum of the ongoing,18,26,diff,empty,,
combined efforts of its people The interest of,10,26,diff,empty,,
our people to get involved with our sustainability,10,0,diff,,,
make a big difference For example our hardware software and expert services enable vaccine,12,26,diff,empty,,
the globe At all stages of their career employees know that we can use our experience and innova,8,26,diff,empty,,
production at the immense scale and quality the,15,6,diff,,,
tion to tackle some of todays biggest problems,18,26,diff,empty,,
world needs to recover Were also contributing to,5,26,diff,empty,,
the reliable packaging of food to help safely feed,15,14,diff,,,
people as they rely more on storebought items,15,26,diff,empty,,
tomorrow and were doing so from a position of,12,26,diff,empty,,
Were removing barriers that could get in the way,12,26,diff,empty,,
of any of our people throwing their full energy,4,24,diff,,,
and talent into solving these challenges Our top,8,8,,,,
priority is creating a healthy and safe environment,9,26,diff,empty,,
where all people can and want to do their very best,10,26,diff,empty,,
work Our workplace is more flexible and diverse,8,8,,,,
than ever before Plus were adding new people,8,26,diff,empty,,
For more than 100 years weve improved the,12,26,diff,empty,,
by helping our customers use less fuel electricity and water to make the products we need We,15,20,diff,,,
lower their costs and increase their output to,24,26,diff,empty,,
of Sustainabilityto scale up a team dedicated to,17,26,diff,empty,,
new solutions to help our customers do the same,15,26,diff,empty,,
Our culture links our people together to use all,8,8,,,,
integrity and diversity to win the right way and for the long term We consider our potential value,8,0,diff,,,
from the outside in Were moving faster than,24,26,diff,empty,,
ever before and were unlocking the power of,15,26,diff,empty,,
new ideas from all employees And perhaps most,15,26,diff,empty,,
with passion because what we do is essential to,3,26,diff,empty,,
Revenue generated for industrial automation and digital transformation technologies and services that help industrial companies and their people be more productive and sustainable,15,26,diff,empty,,
Revenue generated from energy efficiencyrelated productsofferings per SASBs definition,24,24,,,,
CERTIFIED TO ISO 14001 AND ISO 45001 ENVIRONMENTAL MANAGEMENT AND SAFETY STANDARDS,14,11,diff,,,
including small veteran minority women and LGBTQowned US enterprises,8,26,diff,empty,,
n n 10 Asian n 5 Latinx n 75 White n,8,26,diff,empty,,
Explicit in our mission and central to our purpose sustainability is at the core of what we do,3,0,diff,,,
To accelerate our work we expanded our corporate,3,26,diff,empty,,
sustainability team and function in 2021 with additional,3,0,diff,,,
investment and resources Led by Tom OReilly in a newly created role of Vice President Sustainability the team elevates and aligns our holistic strategy and crossfunctional workstreams focused on,3,0,diff,,,
The teams expansion follows our 2020 materiality assessment,12,4,diff,,,
and updated sustainability strategy and priorities including a new,3,0,diff,,,
goal to be carbon neutral for Scope 1 direct and Scope 2 indirect,24,21,diff,,,
emissions by 2030 To update stakeholders about our progress,25,21,diff,,,
we expanded our reporting portfolio with our first disclosure,12,12,,,,
report that follows the Global Reporting Initiative GRI framework,12,26,diff,empty,,
GRI is one of the most widely used standards for sustainability,14,0,diff,,,
reporting Additionally we released our first Task Force on,12,26,diff,empty,,
describes how we incorporate climate risk into our enterprise,13,12,diff,,,
These reports as well as our Sustainability Accounting Standards Board SASB data are available at the newly designed sustainability section of our website Online enhancements include more details about our sustainability,12,0,diff,,,
Under the three sustainability pillars of Environment Social and Governance ESG we have prioritized the material areas we believe create the most value for our company customers and communities,10,0,diff,,,
Environment We are committed to environmental stewardship within our own operations and across our entire,23,7,diff,,,
Social Our people set us apart By coming together to create a culture that values fairness and equity where all people can and want to do their very best work we are expanding human possibility,10,10,,,,
Governance Our commitment to integrity defines who we are and how we act We do what we say we will always honestly and ethically no exceptions,0,0,,,,
